商品名,取引金額 (円),投稿日,1000視聴回数取引金額 (円),広告視聴率,視聴回数,クリエイター,フォロワー数,動画ID,動画リンク
車用スマホホルダー ナノゲル吸着×真空吸盤W固定構造 360度回転 片手操作 iPhone/Android全機種対応 カー用品,65万円,2026-09-14,"2,878円",0.64%,22.46万,@jaspercorne9624,"1,230",7685301635068857620,https://www.tiktok.com/@jaspercorne9624/video/7685301635068857620
踏み抜き防止・刺さり防止 安全シューズ 回転ダイヤル式 軽量 スニーカースタイルの作業靴／安全シューズ（工事・倉庫・工場・配送向け）,62万円,2026-09-19,929円,10.00%,67.08万,@bkolhddujub,"1,159",7687216060298448149,https://www.tiktok.com/@bkolhddujub/video/7687216060298448149
【動画限定】MEDULLA 髪質改善×超音波アイロン ソニックシャインプロ 実質無料ヘアマスク,61万円,2026-08-05,"1,588円",22.42%,38.72万,@juuun.zip,337,7670376431741898002,https://www.tiktok.com/@juuun.zip/video/7670376431741898002
bluetooth イヤホン ワイヤレスイヤホン Bluetooth5.4  ノイズキャンセリング Type-C急速充電 IPX7防水 自動ペアリング,61万円,2026-09-20,6万円,0%,"9,682",@phyo.ei.khaing653,"1,355",7687369028691643655,https://www.tiktok.com/@phyo.ei.khaing653/video/7687369028691643655
ワイヤレスイヤホン Bluetooth対応 スポーツイヤホン 耳掛け式 ランニングイヤホン フィットネス用 安定した装着感 14.2mmダイナミックドライバー バランスの良いサウンド IPX5防水対応 防汗仕様 最大145時間再生可能 マイク付き 通話対応 iPhone・Android対応,61万円,2026-09-16,936円,11.79%,64.94万,@subzdqmzhodb,993,7685677702921211144,https://www.tiktok.com/@subzdqmzhodb/video/7685677702921211144
モバイルバッテリー 軽量 小型  22800mAh  バッテリー 大容量 22.5W 急速充電 5台同時充電 充電器 ケーブル内蔵 携帯充電器 SCP 22.5W/PD 20W/QC 3.0最速 機内持込 防災グッズ 扇風機 ハンディファン iPhone iPad Android 対応,61万円,2026-09-02,225円,2.52%,269.95万,@wansan_minimal,"7,812",7680747576680828178,https://www.tiktok.com/@wansan_minimal/video/7680747576680828178
柔らか肌触り メンズワイドパンツ 秋 ゆったりリラックスパンツ 無地ロングパンツ ウエストゴム 大きいサイズ M‑5XL,61万円,2026-09-15,"1,440円",14.62%,42.02万,@andouqwe,"1,232",7685688718954433810,https://www.tiktok.com/@andouqwe/video/7685688718954433810
1【かわいいスクイーズおもちゃ】柔らかい食品用シリコン、スローバウンスでストレス解消おもちゃ Squishy W1,61万円,2026-09-16,852円,8.70%,71.81万,@valerrnnkgr,241,7686054909917072647,https://www.tiktok.com/@valerrnnkgr/video/7686054909917072647
【秋限定オファー】香り付き濃縮ジェルランドリーボール 5つの効果（洗浄・消臭・柔軟・抗菌・すすぎ1回で汚れ落ち） 大容量198個入り 洗濯簡単便利,60万円,2026-09-14,402円,1.76%,150.13万,@purinpu_,"1,247",7685151778391756053,https://www.tiktok.com/@purinpu_/video/7685151778391756053
エアフライヤー レシピ 付き コンパクト 耐熱ガラス ガラス ノン ノンオイルフライヤー ノンフライヤー 食洗機 対応 調理 フライ 家電 省 スペース 節約 軽量 小型 キッチン 簡単 ガラス製 ノンフライヤー器 大容量,60万円,2026-09-04,"3,573円",32.21%,16.83万,@saba_sweets,2.15万,7681295006195371282,https://www.tiktok.com/@saba_sweets/video/7681295006195371282
柔らか肌触り メンズワイドパンツ 秋 ゆったりリラックスパンツ 無地ロングパンツ ウエストゴム 大きいサイズ M‑5XL,60万円,2026-09-16,"1,575円",20.40%,37.97万,@chun.tun7,1.03万,7685994636015357191,https://www.tiktok.com/@chun.tun7/video/7685994636015357191
アメリカンスタイルのハイストリート風、レイヤード風のフード付き長袖Tシャツ（男女兼用）、2025年秋モデル、リラックス感のあるVネック、大きいサイズ,59万円,2026-09-17,"1,076円",12.74%,54.74万,@greenpi3,"2,049",7686182511134788882,https://www.tiktok.com/@greenpi3/video/7686182511134788882
レディース 春秋 韓国系 ルーズシルエット ホワイト V ネック バットスリーブニット 柔らか肌触り ウエスト絞り 長袖トップス**,59万円,2026-09-15,438円,4.88%,134.18万,@greenpi3,"2,049",7685448743642074375,https://www.tiktok.com/@greenpi3/video/7685448743642074375
DNZZS スウェット プルスウェット 男 裏起毛 ふんわり 秋 冬 ヴィンテージ感 クルーネック カジュアル 柔らかい 通気 すっきり デイリー コーデ  おしゃれ シンプル ファッション リラックス ゆったり オーバーサイズ ストリートLT-MT-111,59万円,2026-09-18,201円,0%,291.33万,@0xlly_l,3.1万,7686794464978898196,https://www.tiktok.com/@0xlly_l/video/7686794464978898196
C500 Microphone Mixer サウンドカードキャスター生中継全セット携帯電話パソコン共通ワンタッチ変音eスポーツ叫麦K歌神器  プロ録音音質（プロサウンドモデル）,57万円,2026-09-06,728円,8.47%,78.36万,@ziari810,"4,527",7682069266379705621,https://www.tiktok.com/@ziari810/video/7682069266379705621
【公式】オットキャスト Ottocast Play2Video Ultra Android 12 CarPlay Box 人気アプリTVer/YouTube/Netflix/Prime Videoが視聴可能 2016年以降の純正で有線のカープレイ搭載車に対応,57万円,2026-09-17,"1,367円",16.09%,41.48万,@salaryman_mikata,"3,305",7686297876246383892,https://www.tiktok.com/@salaryman_mikata/video/7686297876246383892
【9月8日0:00～ ステッカー付※なくなり次第終了】【公式】HARIAS(ハリアス) 薬用クッションファンデーション SPF50+/PA+++ ナイアシンアミド 高濃度フラバンジェノール 医薬部外品 美容液 薬用クッションファンデーション,56万円,2026-09-17,555円,6.49%,100.13万,@akanukemeimei,"1,493",7686514533275274513,https://www.tiktok.com/@akanukemeimei/video/7686514533275274513
